data_time,metro
2021/8/1,169.5
2021/8/2,258.2
2021/8/3,248.2
2021/8/4,247.0
2021/8/5,242.1
2021/8/6,250.0
2021/8/7,175.0
2021/8/8,153.3
2021/8/9,262.5
2021/8/10,263.8
2021/8/11,262.5
2021/8/12,261.3
2021/8/13,260.0
2021/8/14,219.8
2021/8/15,196.5
2021/8/16,279.7
2021/8/17,267.6
2021/8/18,266.7
2021/8/19,266.4
2021/8/20,277.5
2021/8/21,200.0
2021/8/22,191.1
2021/8/23,294.1
2021/8/24,292.0
2021/8/25,291.6
2021/8/26,275.1
2021/8/27,302.6
2021/8/28,221.5
2021/8/29,217.4
2021/8/30,314.1
2021/8/31,302.4
2021/9/1,303.6
2021/9/2,302.3
2021/9/3,329.4
2021/9/4,250.8
2021/9/5,240.8
2021/9/6,302.1
2021/9/7,312.1
2021/9/8,310.6
2021/9/9,307.7
2021/9/10,352.0
2021/9/11,276.6
2021/9/12,254.5
2021/9/13,314.4
2021/9/14,310.2
2021/9/15,310.8
2021/9/16,287.9
2021/9/17,329.8
2021/9/18,373.5
2021/9/19,308.7
2021/9/20,289.1
2021/9/21,281.1
2021/9/22,322.6
2021/9/23,313.8
2021/9/24,333.1
2021/9/25,239.5
2021/9/26,295.7
2021/9/27,316.7
2021/9/28,314.6
2021/9/29,325.3
2021/9/30,413.6
2021/10/1,318.6
2021/10/2,292.5
2021/10/3,281.2
2021/10/4,275.9
2021/10/5,286.7
2021/10/6,314.3
2021/10/7,280.8
2021/10/8,335.1
2021/10/9,345.5
2021/10/10,238.1
2021/10/11,324.2
2021/10/12,326.7
2021/10/13,331.4
2021/10/14,329.0
2021/10/15,365.4
2021/10/16,292.6
2021/10/17,274.8
2021/10/18,339.9
2021/10/19,320.5
2021/10/20,327.0
2021/10/21,333.4
2021/10/22,371.6
2021/10/23,327.1
2021/10/24,299.8
2021/10/25,333.5
2021/10/26,323.1
2021/10/27,322.4
2021/10/28,318.0
2021/10/29,368.6
2021/10/30,322.2
2021/10/31,280.0
2021/11/1,309.9
2021/11/2,313.8
2021/11/3,247.1
2021/11/4,221.2
2021/11/5,211.7
2021/11/6,129.0
2021/11/7,123.1
2021/11/8,234.2
2021/11/9,239.5
2021/11/10,250.3
2021/11/11,247.3
2021/11/12,266.5
2021/11/13,191.1
2021/11/14,179.8
2021/11/15,275.1
2021/11/16,272.0
2021/11/17,282.8
2021/11/18,290.6
2021/11/19,320.7
2021/11/20,242.2
2021/11/21,200.6
2021/11/22,297.5
2021/11/23,304.6
2021/11/24,310.8
2021/11/25,315.2
2021/11/26,351.2
2021/11/27,259.9
2021/11/28,259.9
2021/11/29,303.7
2021/11/30,321.3
2021/12/1,309.8
2021/12/2,318.4
2021/12/3,356.6
2021/12/4,284.0
2021/12/5,268.3
2021/12/6,321.0
2021/12/7,311.9
2021/12/8,311.3
2021/12/9,314.6
2021/12/10,349.6
2021/12/11,267.5
2021/12/12,253.4
2021/12/13,320.4
2021/12/14,315.1
2021/12/15,313.1
2021/12/16,311.9
2021/12/17,348.5
2021/12/18,261.8
2021/12/19,266.7
2021/12/20,321.5
2021/12/21,321.8
2021/12/22,320.0
2021/12/23,313.3
2021/12/24,353.1
2021/12/25,266.3
2021/12/26,229.5
2021/12/27,311.9
2021/12/28,311.9
2021/12/29,317.1
2021/12/30,322.2
2021/12/31,401.0
2022/1/1,298.5
2022/1/2,264.1
2022/1/3,261.6
2022/1/4,314.9
2022/1/5,319.8
2022/1/6,314.4
2022/1/7,325.3
2022/1/8,265.4
2022/1/9,257.5
2022/1/10,329.1
2022/1/11,329.9
2022/1/12,323.7
2022/1/13,320.0
2022/1/14,345.2
2022/1/15,267.0
2022/1/16,247.3
2022/1/17,330.0
2022/1/18,329.4
2022/1/19,331.6
2022/1/20,322.1
2022/1/21,333.1
2022/1/22,262.3
2022/1/23,242.1
2022/1/24,315.1
2022/1/25,315.3
2022/1/26,307.9
2022/1/27,288.2
2022/1/28,252.3
2022/1/29,211.3
2022/1/30,165.8
2022/1/31,198.3
2022/2/1,198.6
2022/2/2,127.4
2022/2/3,152.7
2022/2/4,159.9
2022/2/5,177.5
2022/2/6,197.5
2022/2/7,259.5
2022/2/8,282.4
2022/2/9,300.7
2022/2/10,326.0
2022/2/11,337.4
2022/2/12,277.6
2022/2/13,275.8
2022/2/14,364.8
2022/2/15,345.9
2022/2/16,346.3
2022/2/17,344.1
